,id,place,speedrun_link,submitted_date,primary_time_seconds,real_time_seconds,player_id,player_name,player_country,platform,verified
285,me97n82z,286,https://www.speedrun.com/sm64/runs/me97n82z,2021-02-07T20:33:13Z,564.0,564.0,86v01k5j,camgibb,United States,EMU,Yes
286,me3ok5qz,287,https://www.speedrun.com/sm64/runs/me3ok5qz,2022-04-26T13:23:20Z,566.0,566.0,qxkvqp2j,PKT_S,France,N64,Yes
287,z5g92ogm,288,https://www.speedrun.com/sm64/runs/z5g92ogm,2024-11-23T00:11:26Z,567.0,567.0,v81k2epj,VisionElf,France,EMU,Yes
288,y6el826z,289,https://www.speedrun.com/sm64/runs/y6el826z,2024-07-25T17:57:54Z,570.0,570.0,7j4rz5m8,TheBarinade,Australia,N64,Yes
289,z18ll1gy,290,https://www.speedrun.com/sm64/runs/z18ll1gy,2021-03-01T02:44:30Z,571.0,571.0,86v01k5j,camgibb,United States,N64,Yes
290,y4kv1pdm,290,https://www.speedrun.com/sm64/runs/y4kv1pdm,2024-01-21T14:22:18Z,571.0,571.0,xz27094x,Sadr,France,EMU,Yes
291,m7nropwz,290,https://www.speedrun.com/sm64/runs/m7nropwz,2024-07-03T18:51:23Z,571.0,571.0,jm3ymoo8,Its_CircleZ,United States,N64,Yes
292,mkwww2lm,293,https://www.speedrun.com/sm64/runs/mkwww2lm,2025-08-14T06:50:42Z,574.0,574.0,jprg1g58,eave,,N64,Yes
293,mk95pnlz,294,https://www.speedrun.com/sm64/runs/mk95pnlz,2018-09-27T05:29:05Z,575.0,575.0,kjp9nvk8,fazerlazer80,United States,N64,Yes
294,mre9px2y,294,https://www.speedrun.com/sm64/runs/mre9px2y,2019-07-31T08:44:11Z,575.0,575.0,e8e3m7j0,imglower,United States,N64,Yes
295,y887lj1y,294,https://www.speedrun.com/sm64/runs/y887lj1y,2022-07-25T05:19:57Z,575.0,575.0,7j4o0lm8,BEACHBUM,,N64,Yes
296,zn1kp89m,297,https://www.speedrun.com/sm64/runs/zn1kp89m,2021-04-28T12:19:24Z,576.0,576.0,j2yzn568,gamer_nl,Netherlands,EMU,Yes
297,zn6olp3y,298,https://www.speedrun.com/sm64/runs/zn6olp3y,2026-03-23T12:59:54Z,584.0,584.0,x7q70yq8,JahRidin,Switzerland,EMU,Yes
